,Level,,Items,,A,,B,,C ,,D,CORRECT ANSWERS,RATIONALE,,,,,,
,D,62,________ is one way in which people can help reset their biological clocks.,,Light-dark exposure,,Coffee consumption,,Alcohol consumption,,Napping,A, Longer naps (more than 30 minutes) may interfere with your ability to sleep at night.,,,,,,"While there are short-term performance benefits to caffeine consumption, overuse can lead to insomnia or worsen pre-existing insomnia. Consuming caffeine to stay awake at night may lead to sleeplessness, anxiety, frequent nighttime awakenings, and overall poorer sleep quality.Alcohol consumption does not improve sleep quality. Alcohol does allow healthy people to fall asleep quicker and sleep more deeply for a while, but it reduces rapid eye movement (REM) sleep.  Longer naps (more than 30 minutes) may interfere with your ability to sleep at night."
,E,63,Growth hormone is secreted by the ________ while we sleep.,,Pineal gland,,Thyroid,,Pituitary gland,,Pancreas,C,The pancreas secretes hormones that regulate blood sugar levels.,,,,,,"Pineal gland is an endocrine structure located inside the brain that releases melatonin.The thyroid secretes thyroxine, which is important for basic metabolic processes and growth.The pancreas secretes hormones that regulate blood sugar levels."
,D,64,The ________ plays a role in controlling slowwave sleep.,,Hypothalamus,,Thalamus,,Pons,,Both a and b,A,Distractor item,,,,,,"The thalamus is the sensory relay for the brain.Pons is the hindbrain structure that connects the brain and spinal cord; involved in regulating brain activity
during sleep."
,A,65,________ is a hormone secreted by the pineal gland that plays a role in regulating biological rhythms and immune function. ,,Growth hormone,,Melatonin,,LH,,FSH,B,FSH is produced by the pituitary gland. It regulates the functions of both the ovaries and testes.,,,,,,"Growth hormone (GH) is a small protein that is made by the pituitary gland and secreted into the bloodstream. GH production is controlled by a complex set of hormones produced in the hypothalamus of the brain and in the intestinal tract and pancreas.LH is made by the pituitary gland, a small gland located underneath the brain. LH plays an important role in sexual development and functioning.FSH is produced by the pituitary gland. It regulates the functions of both the ovaries and testes."
,D,66,________ appears to be especially important for enhanced performance on recently learned tasks. ,,Melatonin,,Slow-wave sleep,,Sleep deprivation,,Growth hormone,D,Lack of sleep can result in decreased mental alertness and cognitive function.,,,,,,One important regulator of sleep-wake cyclesis the hormone melatonin. Melatonin release is stimulated by darkness and inhibited by light.Slow-wave sleep is the constructive phase of sleep for recuperation of the mind-body system in which it rebuilds itself after each day. Lack of sleep can result in decreased mental alertness and cognitive function.
,D,67,________ is(are) described as slow-wave sleep.,,Stage 1,,Stage 2,,Stage 3 and stage 4,,REM sleep,C,REM sleep is marked by rapid movements of the eyes. The brain waves associated with this stage of sleep are very similar to those observed when a person is awake and this is the period of sleep in which dreaming occurs.,,,,,,"Stage 1 sleep is a transitional phase that occurs between wakefulness and sleep, the period during which we drift off to sleep. During this time, there is a slowdown in both the rates of respiration and heartbeat.In stage 2 sleep, the body goes into a state of deep relaxation. REM sleep is marked by rapid movements of the eyes. The brain waves associated with this stage of sleep are very similar to those observed when a person is awake and this is the period of sleep in which dreaming occurs."
,D,68,Sleep spindles and K-complexes are most often associated with ________ sleep.,,Stage 1,,Stage 2,,Stage 3 and stage 4,,REM,B,The brain waves associated REM sleep are very similar to those observed when a person is awake.,,,,,,"In Sstage 1 sleep, there is an increase in theta wave activity.Stage 3 and stage 4 of sleep are often referred to as deep sleep or slow-wave sleep because these stages are characterized by low frequency (up to 4 Hz), high amplitude delta waves.The brain waves associated REM sleep are very similar to those observed when a person is awake."
,D,69,Symptoms of ________ may be improved by REM deprivation. ,,Schizophrenia,,Parkinson’s disease,,Depression,,Generalized anxiety disorder,C,Distractor item,,,,,,
,A,70,The ________ content of a dream refers to the true meaning of the dream. ,,Latent,,Manifest,,Collective unconscious,,Important,A,Distractor item,,,,,,"Manifest content refers to the storyline of events that occur during a dream, per Sigmund Freud’s view of the function of dreams.Collective unconscious, as described by Jung, is a theoretical repository of information he believed to be shared by everyone. According to Jung, certain symbols in dreams reflected universal archetypes with meanings that are similar for all people regardless of culture or location."
,D,71,________ is loss of muscle tone or control that is often associated with narcolepsy. ,,RBD,,CPAP,,Cataplexy,,Insomnia,C,"Insomnia, a consistent difficulty in falling or staying asleep, is the most common of the sleep disorders.",,,,,,"REM sleep behavior disorder (RBD) occurs when the muscle paralysis associated with the REM sleep phase does not occur.One of the most common treatments for sleep apnea involves the use of a special device during sleep. A continuous positive airway pressure (CPAP) device includes a mask that fits over the sleeper’s nose and mouth, which is connected to a pump that pumps air into the person’s airways, forcing them to remain open.Insomnia, a consistent difficulty in falling or staying asleep, is the most common of the sleep disorders."
,D,72,An individual may suffer from ________ if there is a disruption in the brain signals that are sent to the muscles that regulate breathing.,,Central sleep apnea,,Obstructive sleep apnea,,Narcolepsy,,SIDS,A,"In sudden infant death syndrome (SIDS), an infant stops breathing during sleep and dies.",,,,,,"Obstructive sleep apnea occurs when an individual’s airway becomes blocked during sleep, and air is prevented from entering the lungs.A person with narcolepsy cannot resist falling asleep at inopportune times. In sudden infant death syndrome (SIDS), an infant stops breathing during sleep and dies."
,D,73,The most common treatment for ________ involves the use of amphetamine-like medications. ,,Sleep apnea,,RBD,,SIDS,,Narcolepsy,D,"In sudden infant death syndrome (SIDS), an infant stops breathing during sleep and dies.",,,,,,"Sleep apnea is defined by episodes during which a sleeper’s breathing stops. These episodes can last 10–20 seconds or longer and often are associated with brief periods of arousal.REM sleep behavior disorder (RBD) is a sleep disorder in which the muscle paralysis associated with the REM sleep phase does not occur; sleepers have high levels of physical activity during REM sleep, especially during disturbing dreams.In sudden infant death syndrome (SIDS), an infant stops breathing during sleep and dies."
,A,74,________ is another word for sleepwalking.,,Insomnia,,Somnambulism,,Cataplexy,,Narcolepsy,B,A person with narcolepsy cannot resist falling asleep at inopportune times. ,,,,,,"Insomnia, a consistent difficulty in falling or staying asleep, is the most common of the sleep disorders.Cataplexy is the lack of muscle tone or muscle weakness, and in some cases complete paralysis of the voluntary muscles.A person with narcolepsy cannot resist falling asleep at inopportune times. "
,A,75, ________ occurs when a drug user requires more and more of a given drug in order to experience the same effects of the drug.,,Withdrawal,,Psychological dependence,,Tolerance,,Reuptake,C,Reuptake occurs when the neurotransmitter is pumped back into the neuron that released it.,,,,,,"Drug withdrawal includes a variety of negative symptoms experienced when drug use is discontinued. These symptoms usually are opposite of the effects of the drug.A person who has psychological dependence has an emotional, rather than physical, need for the drug and may use the drug to relieve psychological distress.Reuptake occurs when the neurotransmitter is pumped back into the neuron that released it."
,D,76,Cocaine blocks the reuptake of ________. ,,GABA,,Glutamate,,Acetylcholine,,Dopamine,D,Acetylcholine is involved in muscle action and memory. Its effects is on increased arousal and enhanced cognition.,,,,,,Gamma-aminobutyric acid (GABA) is involved in brain function and sleep. Its effects is on decreasing anxiety and tension.Glutamate is involved in memory and learning.Acetylcholine is involved in muscle action and memory. Its effects is on increased arousal and enhanced cognition.
,E,77,________ refers to drug craving.,,Psychological dependence,,Antagonism,,Agonism,,Physical dependence,A,Physical dependence involves changes in normal bodily functions—the user will experience withdrawal from the drug upon cessation of use.,,,,,,"Antagonist blocks or impedes the normal activity of a neurotransmitter at the receptor.Agonists are chemicals that mimic a neurotransmitter at the receptor site and, thus, strengthen its effects.Physical dependence involves changes in normal bodily functions—the user will experience withdrawal from the drug upon cessation of use."
,D,78,LSD affects ________ neurotransmission.,,Dopamine,,Serotonin,,Acetylcholine,,Norepinephrine,B,"As a neurotransmitter in the central nervous system, norepinephrine increases alertness and arousal, and speeds reaction time. Norepinephrine has been shown to play a role in a person's mood and ability to concentrate.",,,,,,"Dopamine activity is often associated with reward and craving.Acetylcholine is involved in muscle action and memory. Its effects is on increased arousal and enhanced cognition.As a neurotransmitter in the central nervous system, norepinephrine increases alertness and arousal, and speeds reaction time. Norepinephrine has been shown to play a role in a person's mood and ability to concentrate."
,A,79,________ is most effective in individuals that are very open to the power of suggestion. ,,Hypnosis,,Meditation,,Mindful awareness,,Cognitive therapy,A,Cognitive therapy is a therapeutical approach that involves the awareness of cognitive process to help patients eliminate thought patterns that lead to distress.,,,,,,"Meditation is the act of focusing on a single target (such as the breath or a repeated sound) to increase awareness of the moment. Mindfulness means maintaining a moment-by-moment awareness of our thoughts, feelings, bodily sensations, and surrounding environment, through a gentle, nurturing lens.Cognitive therapy is a therapeutical approach that involves the awareness of cognitive process to help patients eliminate thought patterns that lead to distress."
,D,80, ________ has its roots in religious practice.,,Hypnosis,,Meditation,,Cognitive therapy,,Behavioral therapy,B,Behavioral therapy is an umbrella term for types of therapy that treat mental health disorders. This form of therapy seeks to identify and help change potentially self-destructive or unhealthy behaviors. It functions on the idea that all behaviors are learned and that unhealthy behaviors can be changed.,,,,,,Hypnosis is a focus on the self that involves suggested changes of behavior and experience.Cognitive therapy is a therapeutical approach that involves the awareness of cognitive process to help patients eliminate thought patterns that lead to distress.Behavioral therapy is an umbrella term for types of therapy that treat mental health disorders. This form of therapy seeks to identify and help change potentially self-destructive or unhealthy behaviors. It functions on the idea that all behaviors are learned and that unhealthy behaviors can be changed.
,A,81,Meditation may be helpful in ________. ,,Pain management,,Stress control,,Treating the flu,,Both a and b,D,Distractor item,,,,,,Pain management is the process of providing medical care that alleviates or reduces pain. B is Stress management
,D,82,"Research suggests that cognitive processes, such as learning, may be affected by ________. ",,Hypnosis,,Meditation,,Mindful awareness,,Progressive relaxation,A,"Some scientists are working to determine whether the power of suggestion can affect cognitive processes such as learning, with a view to using hypnosis in educational settings (Wark, 2011). Furthermore, there is some evidence that hypnosis can alter processes that were once thought to be automatic and outside the purview of voluntary control, such as reading (Lifshitz, Aubert Bonn, Fischer, Kashem, & Raz, 2013; Raz, Shapiro, Fan, & Posner, 2002).",,,,,,"Some scientists are working to determine whether the power of suggestion can affect cognitive processes such as learning, with a view to using hypnosis in educational settings (Wark, 2011). Furthermore, there is some evidence that hypnosis can alter processes that were once thought to be automatic and outside the purview of voluntary control, such as reading (Lifshitz, Aubert Bonn, Fischer, Kashem, & Raz, 2013; Raz, Shapiro, Fan, & Posner, 2002).Some scientists are working to determine whether the power of suggestion can affect cognitive processes such as learning, with a view to using hypnosis in educational settings (Wark, 2011). Furthermore, there is some evidence that hypnosis can alter processes that were once thought to be automatic and outside the purview of voluntary control, such as reading (Lifshitz, Aubert Bonn, Fischer, Kashem, & Raz, 2013; Raz, Shapiro, Fan, & Posner, 2002).Some scientists are working to determine whether the power of suggestion can affect cognitive processes such as learning, with a view to using hypnosis in educational settings (Wark, 2011). Furthermore, there is some evidence that hypnosis can alter processes that were once thought to be automatic and outside the purview of voluntary control, such as reading (Lifshitz, Aubert Bonn, Fischer, Kashem, & Raz, 2013; Raz, Shapiro, Fan, & Posner, 2002)."
SENSATION & PERCEPTION,E,83,________ refers to the minimum amount of stimulus energy required to be detected 50% of the time. ,,Absolute threshold,,Difference threshold,,Just noticeable difference,,Transduction,A,Transduction is the conversion of one form of energy into another.,,,,,,Difference threshold refers to the smallest difference needed in order to differentiate two stimuli. JND is the smallest difference needed in order to differentiate two stimuli. Transduction is the conversion of one form of energy into another.
,A,84,Decreased sensitivity to an unchanging stimulus is known as ________. ,,Transduction,,Difference threshold,,Sensory adaptation,,Inattentional blindness,C,"Inattentional blindness refers to the failure to notice a fully visible, but unexpected, object or event when attention is devoted to something else.",,,,,,"Transduction is the conversion of one form of energy into another.Difference threshold refers to the smallest difference needed in order to differentiate two stimuli. Inattentional blindness refers to the failure to notice a fully visible, but unexpected, object or event when attention is devoted to something else."
,E,85,________ involves the conversion of sensory stimulus energy into neural impulses.,,Sensory adaptation,,Inattentional blindness,,Difference threshold,,Transduction,D,Difference threshold refers to the smallest difference needed in order to differentiate two stimuli. ,,,,,,"Sensory adaptation is the decreased sensitivity to an unchanging stimulus.Inattentional blindness refers to the failure to notice a fully visible, but unexpected, object or event when attention is devoted to something else.Difference threshold refers to the smallest difference needed in order to differentiate two stimuli. "
,E,86,"________ occurs when sensory information is organized, interpreted, and consciously experienced. ",,Sensation,,Perception,,Transduction,,Sensory adaptation,B,Sensory adaptation is the decreased sensitivity to an unchanging stimulus.,,,,,,Sensation is the physical processing of environmental stimuli by the sense organs.Transduction is the conversion of one form of energy into another. Sensory adaptation is the decreased sensitivity to an unchanging stimulus.
,D,87,Which of the following correctly matches the pattern in our perception of color as we move from short wavelengths to long wavelengths?,,Red to orange to yellow,,Yellow to orange to red,,Yellow to red to orange,,Orange to yellow to red ,B,"Light wavelength is associated with perception of color. Within the visible spectrum, our experience of red is associated with longer wavelengths, greens are intermediate, and blues and violets are shorter in wavelength. ",,,,,,"Light wavelength is associated with perception of color. Within the visible spectrum, our experience of red is associated with longer wavelengths, greens are intermediate, and blues and violets are shorter in wavelength. "
,D,88,The visible spectrum includes light that ranges from about ________. ,, 400–700 nm,,200–900 nm,,20–20000 Hz,,10–20 dB,A,The visible spectrum in humans is associated with wavelengths that range from 380 to 740 nm.,,,,,,The visible spectrum in humans is associated with wavelengths that range from 380 to 740 nm.
,D,89,The electromagnetic spectrum includes ________. ,,Radio waves,,X-rays,,Infrared light,,All of the above,D,"The audible range of sound frequencies is between 20 and 20000 Hz, with greatest sensitivity to those frequencies that fall in the middle of this range.",,,,,,"The audible range of sound frequencies is between 20 and 20000 Hz, with greatest sensitivity to those frequencies that fall in the middle of this range."
,D,90,The audible range for humans is ________. ,,380–740 Hz,,10–20 dB,,less than 300 dB,,"20-20,000 Hz",D,"The lowest hearing decibel level is 0 dB, which indicates nearly total silence and is the softest sound that the human ear can hear. Generally speaking, the louder the sound, the higher the decibel number.",,,,,,"The lowest hearing decibel level is 0 dB, which indicates nearly total silence and is the softest sound that the human ear can hear. Generally speaking, the louder the sound, the higher the decibel number."
,D,91,"The quality of a sound that is affected by frequency, amplitude, and timing of the sound wave is known as ________. ",,Pitch,,Tone,,Electromagnetic,,Timbre,D,"The term ""electromagnetism"" comes from the fact that electrical and magnetic forces are involved simultaneously.",,,,,,"Pitch is the perception of a sound’s frequency.In order for auditory perception to happen, the brain has to analyze the properties and characteristics of the sound. One characteristic is tone, which refers to if the sound if higher or lower.The term ""electromagnetism"" comes from the fact that electrical and magnetic forces are involved simultaneously."
,E,92,The ________ is a small indentation of the retina that contains cones. ,,Optic chiasm,,Optic nerve,,Fovea,,Iris,C,Iris is the colored portion of the eye.,,,,,,X-shaped structure that sits just below the brain’s ventral surface; represents the merging ofthe optic nerves from the two eyes and the separation of information from the two sides of the visual field to the opposite side of the brainOptic nerve carries visual information from the retina to the brain.Iris is the colored portion of the eye.
,E,93,________ operate best under bright light conditions.,,Cones,,Rods,,Retinal ganglion cells,,Striate cortex,A,The striate cortex is the part of the visual cortex that is involved in processing visual information. The striate cortex is the first cortical visual area that receives input from the lateral geniculate nucleus in the thalamus.,,,,,,"Rods are located throughout the retina and operate best under dim light conditions.Retinal ganglion cells process visual information that begins as light entering the eye and transmit it to the brain via their axons, which are long fibers that make up the optic nerve. The striate cortex is the part of the visual cortex that is involved in processing visual information. The striate cortex is the first cortical visual area that receives input from the lateral geniculate nucleus in the thalamus."
,A,94,________ depth cues require the use of both eyes. ,,Monocular,,Binocular,,Linear perspective,,Accommodating,B,"Initially proposed by Jean Piaget, the term accommodation refers to the part of the adaptation process. The process of accommodation involves altering one's existing schemas, or ideas, as a result of new information or new experiences.",,,,,,"Monocular cue is a visual cue that requires only one eye. Linear perspective allows us to perceive depth in an image when two parallel lines seem to converge.Initially proposed by Jean Piaget, the term accommodation refers to the part of the adaptation process. The process of accommodation involves altering one's existing schemas, or ideas, as a result of new information or new experiences."
,D,95,"If you were to stare at a green dot for a relatively long period of time and then shift your gaze to a blank white screen, you would see a ________ negative afterimage. ",,Blue,,Yellow,,Black,,red,D,"According to the opponent-process theory of color perception,  color is coded in opponent pairs such as black-white. ",,,,,,"According to the opponent-process theory of color perception,  color is coded in opponent pairs such as yellow-blue. "
,D,96,The air cells located near the base of the basilar membrane respond best to ________ sounds. ,,Low-frequency,,High-frequency,,Low-amplitude,,High-amplitude,B,The place theory of pitch perception suggests that different portions of the basilar membrane are sensitive to sounds of different frequencies.,,,,,,"The place theory of pitch perception suggests that different portions of the basilar membrane are sensitive to sounds of different frequencies. More specifically,; the tip of the basilar membrane responds best to low frequencies."
,A,97,The three ossicles of the middle ear are known as ________. ,,"Malleus, incus, and stapes",,"Hammer, anvil, and stirrup",,"Pinna, cochlea, and utricle",,Both a and b ,D,Pinna is a part of the outer ear while  the cochlea and utricle are parts of the inner ear. ,,,,,,The ossicles (also called auditory ossicles) are three bones in either middle ear that are among the smallest bones in the human body. Pinna is a part of the outer ear while  the cochlea and utricle are parts of the inner ear. 
,D,98,Hearing aids might be effective for treating ________.,,Ménière's disease,,Sensorineural hearing loss,,Conductive hearing loss,,Interaural time differences,B,The interaural time difference is the time interval between when a sound enters one ear and when it enters the other ear.,,,,,,"Ménière's disease results in a degeneration of inner ear structures that can lead to hearing loss, tinnitus, vertigo, and an increase in pressure within the inner earHearing loss that results from a failure of the vibration of the eardrum or the resultant movement of the ossicles is called conductive hearing lossThe interaural time difference is the time interval between when a sound enters one ear and when it enters the other ear."
,A,99,Cues that require two ears are referred to as ________ cues. ,,Monocular,,Monaural,,Binocular,,Binaural ,D,Binocular cue is a visual cue that relies on the use of both eyes.,,,,,,Monocular cue is a visual cue that requires only one eye. Monoaural cue is a one-eared cue to localize sound.Binocular cue is a visual cue that relies on the use of both eyes.
,E,100,Chemical messages often sent between two members of a species to communicate something about reproductive status are called ________. ,,Hormones,,Pheromones,,Merkel’s disks,,Meissner’s corpuscles,B,Meissner’s corpuscles are receptors throughout the skin that respond to pressure and lower frequency vibrations.,,,,,,Hormones are released from endocrine cells that travels through the blood to interact with target cells at some distance to cause a biological response.Merkel’s disks are receptors throughout the skin that respond to light pressure. Meissner’s corpuscles are receptors throughout the skin that respond to pressure and lower frequency vibrations.
,A,101,Which taste is associated with monosodium glutamate? ,,Sweet,,Bitter,,Umami,,Sour,C,Sourness is the taste that detects acidity. ,,,,,,"Sense of taste that is pleasurable and that is a result of digesting something that contains sugar.Bitter denotes the unpleasant taste evoked by most alkaloids, glycosides, vitamins, and some salts.Sourness is the taste that detects acidity. "
,A,102, ________ serve as sensory receptors for temperature and pain stimuli. ,,Free nerve endings,,Pacinian corpuscles,,Ruffini corpuscles,,Meissner’s corpuscles,A,Meissner’s corpuscles respond to pressure and lower frequency vibrations.,,,,,,Pacinian corpuscles detect transient pressure and higher frequency vibrations:Ruffini corpuscles detect stretch.Meissner’s corpuscles respond to pressure and lower frequency vibrations.
,A,103,Which of the following is involved in maintaining balance and body posture? ,,Auditory nerve,,Nociceptors,,Olfactory bulb,,Vestibular system,D,"bulb-like structure at the tip of the frontal lobe, where the olfactory nerves begin",,,,,,"The auditory nerve is a bundle of nerve fibres that carry information between the cochlea in the inner ear and the brain. The function of the auditory nerve is to transmit signals from the internal ear to the brain.A nociceptor (""pain receptor"") is a sensory neuron that responds to damaging or potentially damaging stimuli by sending “possible threat” signals to the spinal cord and the brain.bulb-like structure at the tip of the frontal lobe, where the olfactory nerves begin"
,A,104,"According to the principle of ________, objects that occur close to one another tend to be grouped together. ",,Similarity,,Good continuation,,Proximity,,Closure ,C,The principle of closure states that we organize our perceptions into complete objects rather than as a series of parts.,,,,,,"The principle of similarity states that things that are alike tend to be grouped together.According to the principle of good continuation, we are more likely to perceive smoothly flowing lines rather than choppy or jagged lines. The principle of closure states that we organize our perceptions into complete objects rather than as a series of parts."
,E,105,Our tendency to perceive things as complete objects rather than as a series of parts is known as the principle of ________. ,,Closure,,Good continuation,,Proximity,,Similarity,A,The principle of similarity states that things that are alike tend to be grouped together.,,,,,,"According to the principle of good continuation, we are more likely to perceive smoothly flowing lines rather than choppy or jagged lines. The principle of proximity states that things that are close to one another tend to be grouped together.The principle of similarity states that things that are alike tend to be grouped together."
,A,106,"According to the law of ________, we are more likely to perceive smoothly flowing lines rather than choppy or jagged lines. ",,Closure,,Good continuation,,Proximity,,Similarity,B,The principle of similarity states that things that are alike tend to be grouped together.,,,,,,The principle of closure states that we organize our perceptions into complete objects rather than as a series of parts.The principle of proximity states that things that are close to one another tend to be grouped together.The principle of similarity states that things that are alike tend to be grouped together.
,A,107,The main point of focus in a visual display is known as the ________. ,,Closure,,Perceptual set,,Ground,,Figure,D,"According to the figure-ground relationship, we tend to segment our visual world into figure and ground. The ground is the background.",,,,,,"The principle of closure states that we organize our perceptions into complete objects rather than as a series of parts.Perceptual set refers to a predisposition to perceive things in a certain wayAccording to the figure-ground relationship, we tend to segment our visual world into figure and ground. The ground is the background."
